"中文名","英文名","DS5","DSE","DS5自适应扳机","DSE自适应扳机","DS5触觉反馈","DSE触觉反馈","DS5触摸板","DSE触摸板","分组","备注"
"100% 鲜橙汁！","100% Orange Juice!","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"1000x抵抗","1000xResist","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"1348 Ex Voto","1348 Ex Voto","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"第二个前夕","2nd Eve","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"2XKO","2XKO","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"距午夜 3 分钟","3 Minutes to Midnight","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"500口径合同","500 Caliber Contractz","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"瘟疫传说：安魂曲","A Plague Tale: Requiem","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"寂静之地：前方之路","A Quiet Place: The Road Ahead","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"秋天的呢喃：锦衣卫","A Whisper of Fall: Jinyiwei","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"爱拉","A.I.L.A","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"阿巴索尔","Abathor","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"关于钓鱼","About Fishing","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
